date,SPY,QQQ,GLD,TIP,BIL
1985-12-02,9.505,2.7358,34.8139,15.4599,28.3192
1985-12-03,9.524,2.7367,34.9325,15.4742,28.3266
1985-12-04,9.6837,2.7959,35.1052,15.4887,28.334
1985-12-05,9.6671,2.8073,34.9531,15.5031,28.3414
1985-12-06,9.6249,2.7744,34.8984,15.5175,28.3488
1985-12-09,9.6846,2.7859,34.3673,15.5319,28.3562
1985-12-10,9.6912,2.7966,34.3235,15.5464,28.3636
1985-12-11,9.7822,2.8229,34.1605,15.5609,28.371
1985-12-12,9.802,2.8357,34.3766,15.5754,28.3784
1985-12-13,9.9542,2.8872,34.4031,15.5899,28.3858
1985-12-16,10.0528,2.8978,34.4946,15.6044,28.3932
1985-12-17,9.9878,2.8743,34.7702,15.6189,28.4007
1985-12-18,9.9479,2.8656,34.6505,15.6334,28.4081
1985-12-19,9.9579,2.8828,35.2725,15.648,28.4155
1985-12-20,10.0014,2.8901,35.2449,15.6626,28.4229
1985-12-23,9.889,2.8565,35.4663,15.6771,28.4303
1985-12-24,9.8212,2.8413,35.1681,15.6917,28.4378
1985-12-25,9.8212,2.8413,35.1675,15.7063,28.4452
1985-12-26,9.8216,2.8481,35.167,15.721,28.4526
1985-12-27,9.9382,2.873,35.383,15.7356,28.46
1985-12-30,9.9889,2.8831,35.377,15.7503,28.4675
1985-12-31,10.0173,2.8907,35.3765,15.7649,28.4749
1986-01-01,10.0173,2.8907,35.3759,15.7796,28.4823
1986-01-02,9.9371,2.8679,35.3213,15.7772,28.4894
1986-01-03,9.9982,2.8525,35.3695,15.7748,28.4964
1986-01-06,9.9873,2.8482,35.5042,15.7724,28.5034
1986-01-07,10.1366,2.9014,35.7202,15.77,28.5104
1986-01-08,9.8602,2.8658,36.0011,15.7676,28.5175
1986-01-09,9.7719,2.8142,36.0979,15.7652,28.5245
1986-01-10,9.7648,2.8309,36.8496,15.7628,28.5315
1986-01-13,9.8008,2.8206,36.7354,15.7604,28.5386
1986-01-14,9.797,2.8224,36.908,15.758,28.5456
1986-01-15,9.8737,2.8738,37.5298,15.7556,28.5527
1986-01-16,9.9168,2.9071,39.288,15.7533,28.5597
1986-01-17,9.8817,2.9008,38.1618,15.7509,28.5667
1986-01-20,9.839,2.8753,37.9881,15.7485,28.5738
1986-01-21,9.7565,2.864,38.5828,15.7461,28.5808
1986-01-22,9.6474,2.8318,38.2034,15.7437,28.5879
1986-01-23,9.6834,2.8242,37.9106,15.7413,28.5949
1986-01-24,9.7867,2.8445,38.3104,15.7389,28.602
1986-01-27,9.8322,2.8575,38.786,15.7365,28.609
1986-01-28,9.9469,2.8836,38.201,15.7341,28.6161
1986-01-29,9.9696,2.9069,38.2275,15.7317,28.6232
1986-01-30,9.9241,2.8879,38.741,15.7293,28.6302
1986-01-31,10.0402,2.9039,37.9288,15.727,28.6373
1986-02-03,10.1435,2.9326,37.5819,15.7246,28.6443
1986-02-04,10.088,2.9405,36.6399,15.7416,28.6526
1986-02-05,10.096,2.9648,36.4986,15.7587,28.6608
1986-02-06,10.1202,2.985,36.4764,15.7759,28.669
1986-02-07,10.1718,3.002,36.4867,15.793,28.6772
1986-02-10,10.2514,3.0174,36.8054,15.8101,28.6854
1986-02-11,10.2362,3.0203,36.3341,15.8273,28.6936
1986-02-12,10.2385,3.0292,36.4905,15.8445,28.7018
1986-02-13,10.3063,3.0401,36.1382,15.8617,28.7101
1986-02-14,10.4181,3.0618,35.851,15.8789,28.7183
1986-02-17,10.4181,3.0617,36.0289,15.8962,28.7265
1986-02-18,10.5456,3.0743,36.4882,15.9134,28.7348
1986-02-19,10.418,3.0503,36.9367,15.9307,28.743
1986-02-20,10.5346,3.057,36.4709,15.948,28.7512
1986-02-21,10.6483,3.0832,36.5677,15.9653,28.7595
1986-02-24,10.635,3.0625,36.9783,15.9827,28.7677
1986-02-25,10.6089,3.045,38.1245,16,28.7759
1986-02-26,10.6207,3.0335,37.4045,16.0174,28.7842
1986-02-27,10.7501,3.0695,36.4465,16.0348,28.7924
1986-02-28,10.7572,3.0673,36.5811,16.0522,28.8007
1986-03-03,10.686,3.0523,36.3047,16.0696,28.8089
1986-03-04,10.6367,3.0699,36.4718,16.0925,28.816
1986-03-05,10.6347,3.0633,36.9418,16.1154,28.8231
1986-03-06,10.6722,3.0754,37.2658,16.1383,28.8302
1986-03-07,10.693,3.0734,37.1517,16.1612,28.8373
1986-03-10,10.7408,3.1111,36.8049,16.1842,28.8443
1986-03-11,10.983,3.1746,37.091,16.2072,28.8514
1986-03-12,11.0233,3.2024,37.1932,16.2303,28.8585
1986-03-13,11.054,3.2109,37.8146,16.2533,28.8656
1986-03-14,11.2133,3.2107,37.641,16.2765,28.8727
1986-03-17,11.1241,3.1968,37.8459,16.2996,28.8798
1986-03-18,11.1767,3.2243,37.9805,16.3228,28.8869
